N,K,Min Ratio,Average Ratio,Max Ratio,Min Time,Average Time,Max Time,Standard Deviation (Ratio),Standard Deviation (Time)
20,2,1.000,1.036,1.144,0.001,0.001,0.001,0.056,0.000
20,3,1.000,1.044,1.125,0.001,0.001,0.001,0.034,0.000
20,4,1.028,1.133,1.255,0.001,0.001,0.001,0.088,0.000
20,5,1.044,1.081,1.192,0.001,0.001,0.002,0.042,0.000
20,6,1.078,1.136,1.205,0.001,0.001,0.002,0.045,0.000
20,7,1.000,1.084,1.243,0.001,0.001,0.002,0.069,0.000
20,8,1.000,1.130,1.245,0.001,0.001,0.002,0.074,0.000
20,9,1.000,1.024,1.066,0.001,0.001,0.002,0.023,0.000
20,10,1.074,1.172,1.425,0.001,0.001,0.003,0.111,0.000
30,2,1.000,1.062,1.103,0.001,0.001,0.001,0.042,0.000
30,3,1.000,1.053,1.122,0.001,0.002,0.003,0.035,0.001
30,4,1.043,1.074,1.145,0.001,0.001,0.002,0.031,0.000
30,5,1.001,1.044,1.126,0.001,0.002,0.003,0.040,0.000
30,6,1.008,1.065,1.216,0.001,0.002,0.003,0.065,0.001
30,7,1.009,1.086,1.214,0.001,0.002,0.003,0.064,0.001
30,8,1.000,1.033,1.084,0.002,0.002,0.002,0.020,0.000
30,9,1.071,1.201,1.374,0.001,0.002,0.003,0.086,0.001
30,10,1.032,1.076,1.121,0.001,0.002,0.003,0.027,0.000
40,2,1.000,1.046,1.089,0.001,0.001,0.003,0.031,0.000
40,3,1.000,1.033,1.097,0.001,0.002,0.002,0.032,0.000
40,4,1.004,1.037,1.084,0.001,0.002,0.002,0.036,0.000
40,5,1.002,1.079,1.185,0.001,0.002,0.002,0.059,0.000
40,6,1.018,1.050,1.142,0.001,0.002,0.002,0.043,0.000
40,7,1.045,1.092,1.160,0.001,0.002,0.002,0.038,0.000
40,8,1.023,1.076,1.220,0.002,0.002,0.003,0.054,0.000
40,9,1.035,1.131,1.234,0.002,0.002,0.003,0.067,0.000
40,10,1.022,1.126,1.263,0.001,0.003,0.005,0.066,0.001
50,2,1.000,1.030,1.088,0.001,0.001,0.002,0.025,0.000
50,3,1.000,1.069,1.286,0.001,0.001,0.002,0.079,0.000
50,4,1.087,1.164,1.339,0.001,0.001,0.002,0.076,0.000
50,5,1.006,1.045,1.134,0.002,0.002,0.002,0.041,0.000
50,6,1.000,1.055,1.125,0.002,0.002,0.002,0.034,0.000
50,7,1.026,1.162,1.306,0.001,0.002,0.002,0.088,0.000
50,8,1.038,1.109,1.180,0.002,0.002,0.003,0.050,0.000
50,9,1.013,1.057,1.114,0.002,0.002,0.003,0.030,0.000
50,10,1.031,1.079,1.149,0.002,0.003,0.005,0.040,0.001
60,2,1.000,1.063,1.157,0.001,0.002,0.002,0.048,0.000
60,3,1.015,1.074,1.139,0.001,0.002,0.003,0.040,0.000
60,4,1.019,1.089,1.190,0.001,0.002,0.004,0.061,0.001
60,5,1.019,1.076,1.176,0.002,0.002,0.002,0.049,0.000
60,6,1.043,1.076,1.179,0.002,0.002,0.003,0.037,0.000
60,7,1.043,1.078,1.129,0.002,0.002,0.004,0.029,0.001
60,8,1.044,1.090,1.182,0.002,0.002,0.003,0.039,0.000
60,9,1.030,1.087,1.124,0.002,0.002,0.002,0.032,0.000
60,10,1.021,1.107,1.206,0.002,0.002,0.004,0.044,0.001
70,2,1.000,1.044,1.155,0.002,0.002,0.002,0.052,0.000
70,3,1.006,1.064,1.127,0.002,0.002,0.003,0.038,0.000
70,4,1.022,1.073,1.164,0.002,0.002,0.002,0.050,0.000
70,5,1.031,1.054,1.109,0.002,0.002,0.002,0.022,0.000
70,6,1.004,1.115,1.212,0.002,0.002,0.003,0.063,0.000
70,7,1.024,1.085,1.172,0.002,0.002,0.004,0.042,0.001
70,8,1.038,1.104,1.155,0.002,0.002,0.003,0.039,0.000
70,9,1.059,1.187,1.379,0.002,0.002,0.003,0.104,0.000
70,10,1.029,1.097,1.168,0.002,0.003,0.003,0.038,0.000
80,2,1.000,1.027,1.092,0.002,0.002,0.003,0.027,0.000
80,3,1.010,1.073,1.156,0.002,0.002,0.002,0.043,0.000
80,4,1.057,1.089,1.132,0.002,0.002,0.002,0.027,0.000
80,5,1.006,1.079,1.169,0.002,0.002,0.003,0.046,0.000
80,6,1.040,1.073,1.129,0.002,0.002,0.003,0.023,0.000
80,7,1.044,1.087,1.161,0.002,0.003,0.004,0.038,0.000
80,8,1.038,1.104,1.150,0.002,0.003,0.004,0.030,0.001
80,9,1.043,1.094,1.137,0.002,0.003,0.003,0.029,0.000
80,10,1.054,1.153,1.259,0.002,0.003,0.004,0.071,0.001
90,2,1.000,1.036,1.129,0.002,0.002,0.002,0.043,0.000
