Instance,N,K,Min Ratio,Average Ratio,Max Ratio,Min Time,Average Time,Max Time,Standard Deviation (Ratio),Standard Deviation (Time)
pmed1,100,5,1.094,1.094,1.094,0.017,0.017,0.017,0.000,0.000
pmed2,100,10,1.171,1.171,1.171,0.046,0.046,0.046,0.000,0.000
pmed3,100,10,1.538,1.538,1.538,0.021,0.021,0.021,0.000,0.000
pmed4,100,20,1.495,1.495,1.495,0.102,0.102,0.102,0.000,0.000
pmed5,100,33,1.503,1.503,1.503,0.116,0.116,0.116,0.000,0.000
pmed6,200,5,1.250,1.250,1.250,0.026,0.026,0.026,0.000,0.000
pmed7,200,10,1.527,1.527,1.527,0.035,0.035,0.035,0.000,0.000
pmed8,200,20,1.490,1.490,1.490,0.205,0.205,0.205,0.000,0.000
pmed9,200,40,1.627,1.627,1.627,0.409,0.409,0.409,0.000,0.000
pmed10,200,67,2.009,2.009,2.009,0.813,0.813,0.813,0.000,0.000
pmed11,300,5,1.142,1.142,1.142,0.014,0.014,0.014,0.000,0.000
pmed12,300,10,1.272,1.272,1.272,0.040,0.040,0.040,0.000,0.000
pmed13,300,30,1.419,1.419,1.419,0.181,0.181,0.181,0.000,0.000
pmed14,300,60,1.503,1.503,1.503,1.135,1.135,1.135,0.000,0.000
pmed15,300,100,1.774,1.774,1.774,1.283,1.283,1.283,0.000,0.000
pmed16,400,5,1.116,1.116,1.116,0.057,0.057,0.057,0.000,0.000
pmed17,400,10,1.252,1.252,1.252,0.119,0.119,0.119,0.000,0.000
pmed18,400,40,1.417,1.417,1.417,0.415,0.415,0.415,0.000,0.000
pmed19,400,80,1.510,1.510,1.510,0.752,0.752,0.752,0.000,0.000
pmed20,400,133,1.778,1.778,1.778,2.177,2.177,2.177,0.000,0.000
pmed21,500,5,1.215,1.215,1.215,0.022,0.022,0.022,0.000,0.000
pmed22,500,10,1.282,1.282,1.282,0.135,0.135,0.135,0.000,0.000
pmed23,500,50,1.417,1.417,1.417,2.498,2.498,2.498,0.000,0.000
pmed24,500,100,1.555,1.555,1.555,0.534,0.534,0.534,0.000,0.000
pmed25,500,167,1.655,1.655,1.655,0.993,0.993,0.993,0.000,0.000
pmed26,600,5,1.046,1.046,1.046,0.034,0.034,0.034,0.000,0.000
pmed27,600,10,1.291,1.291,1.291,0.041,0.041,0.041,0.000,0.000
pmed28,600,60,1.420,1.420,1.420,1.541,1.541,1.541,0.000,0.000
pmed29,600,120,1.492,1.492,1.492,2.600,2.600,2.600,0.000,0.000
pmed30,600,200,1.719,1.719,1.719,1.464,1.464,1.464,0.000,0.000
pmed31,700,5,1.245,1.245,1.245,0.020,0.020,0.020,0.000,0.000
pmed32,700,10,1.276,1.276,1.276,0.085,0.085,0.085,0.000,0.000
pmed33,700,70,1.449,1.449,1.449,1.506,1.506,1.506,0.000,0.000
pmed34,700,140,1.500,1.500,1.500,0.976,0.976,0.976,0.000,0.000
pmed35,800,5,1.092,1.092,1.092,0.056,0.056,0.056,0.000,0.000
pmed36,800,10,1.166,1.166,1.166,0.145,0.145,0.145,0.000,0.000
pmed37,800,80,1.483,1.483,1.483,6.249,6.249,6.249,0.000,0.000
pmed38,900,5,1.163,1.163,1.163,0.029,0.029,0.029,0.000,0.000
pmed39,900,10,1.142,1.142,1.142,0.082,0.082,0.082,0.000,0.000
pmed40,900,90,1.411,1.411,1.411,4.890,4.890,4.890,0.000,0.000
