Instance,N,K,Min Ratio,Average Ratio,Max Ratio,Min Time,Average Time,Max Time,Standard Deviation (Ratio),Standard Deviation (Time)
pmed1,100,5,1.310,1.310,1.310,0.019,0.019,0.019,0.000,0.000
pmed2,100,10,1.526,1.526,1.526,0.015,0.015,0.015,0.000,0.000
pmed3,100,10,1.501,1.501,1.501,0.010,0.010,0.010,0.000,0.000
pmed4,100,20,1.603,1.603,1.603,0.022,0.022,0.022,0.000,0.000
pmed5,100,33,1.773,1.773,1.773,0.042,0.042,0.042,0.000,0.000
pmed6,200,5,1.146,1.146,1.146,0.012,0.012,0.012,0.000,0.000
pmed7,200,10,1.294,1.294,1.294,0.015,0.015,0.015,0.000,0.000
pmed8,200,20,1.476,1.476,1.476,0.054,0.054,0.054,0.000,0.000
pmed9,200,40,1.658,1.658,1.658,0.063,0.063,0.063,0.000,0.000
pmed10,200,67,1.691,1.691,1.691,0.080,0.080,0.080,0.000,0.000
pmed11,300,5,1.147,1.147,1.147,0.014,0.014,0.014,0.000,0.000
pmed12,300,10,1.293,1.293,1.293,0.020,0.020,0.020,0.000,0.000
pmed13,300,30,1.456,1.456,1.456,0.036,0.036,0.036,0.000,0.000
pmed14,300,60,1.472,1.472,1.472,0.078,0.078,0.078,0.000,0.000
pmed15,300,100,1.731,1.731,1.731,0.161,0.161,0.161,0.000,0.000
pmed16,400,5,1.199,1.199,1.199,0.016,0.016,0.016,0.000,0.000
pmed17,400,10,1.369,1.369,1.369,0.044,0.044,0.044,0.000,0.000
pmed18,400,40,1.349,1.349,1.349,0.073,0.073,0.073,0.000,0.000
pmed19,400,80,1.534,1.534,1.534,0.145,0.145,0.145,0.000,0.000
pmed20,400,133,1.669,1.669,1.669,0.256,0.256,0.256,0.000,0.000
pmed21,500,5,1.113,1.113,1.113,0.017,0.017,0.017,0.000,0.000
pmed22,500,10,1.224,1.224,1.224,0.034,0.034,0.034,0.000,0.000
pmed23,500,50,1.312,1.312,1.312,0.091,0.091,0.091,0.000,0.000
pmed24,500,100,1.578,1.578,1.578,0.199,0.199,0.199,0.000,0.000
pmed25,500,167,1.618,1.618,1.618,0.366,0.366,0.366,0.000,0.000
pmed26,600,5,1.095,1.095,1.095,0.014,0.014,0.014,0.000,0.000
pmed27,600,10,1.242,1.242,1.242,0.035,0.035,0.035,0.000,0.000
pmed28,600,60,1.389,1.389,1.389,0.118,0.118,0.118,0.000,0.000
pmed29,600,120,1.527,1.527,1.527,0.262,0.262,0.262,0.000,0.000
pmed30,600,200,1.698,1.698,1.698,0.485,0.485,0.485,0.000,0.000
pmed31,700,5,1.281,1.281,1.281,0.026,0.026,0.026,0.000,0.000
pmed32,700,10,1.230,1.230,1.230,0.047,0.047,0.047,0.000,0.000
pmed33,700,70,1.406,1.406,1.406,0.147,0.147,0.147,0.000,0.000
pmed34,700,140,1.474,1.474,1.474,0.380,0.380,0.380,0.000,0.000
pmed35,800,5,1.119,1.119,1.119,0.021,0.021,0.021,0.000,0.000
pmed36,800,10,1.272,1.272,1.272,0.041,0.041,0.041,0.000,0.000
pmed37,800,80,1.408,1.408,1.408,0.196,0.196,0.196,0.000,0.000
pmed38,900,5,1.103,1.103,1.103,0.021,0.021,0.021,0.000,0.000
pmed39,900,10,1.202,1.202,1.202,0.057,0.057,0.057,0.000,0.000
pmed40,900,90,1.440,1.440,1.440,0.256,0.256,0.256,0.000,0.000
