Instance,N,K,Min Ratio,Average Ratio,Max Ratio,Min Time,Average Time,Max Time,Standard Deviation (Ratio),Standard Deviation (Time)
pmed1,100,5,1.301,1.301,1.301,0.020,0.020,0.020,0.000,0.000
pmed2,100,10,1.490,1.490,1.490,0.021,0.021,0.021,0.000,0.000
pmed3,100,10,1.499,1.499,1.499,0.035,0.035,0.035,0.000,0.000
pmed4,100,20,1.468,1.468,1.468,0.066,0.066,0.066,0.000,0.000
pmed5,100,33,2.140,2.140,2.140,0.218,0.218,0.218,0.000,0.000
pmed6,200,5,1.202,1.202,1.202,0.021,0.021,0.021,0.000,0.000
pmed7,200,10,1.491,1.491,1.491,0.040,0.040,0.040,0.000,0.000
pmed8,200,20,1.304,1.304,1.304,0.155,0.155,0.155,0.000,0.000
pmed9,200,40,1.642,1.642,1.642,0.731,0.731,0.731,0.000,0.000
pmed10,200,67,1.676,1.676,1.676,0.897,0.897,0.897,0.000,0.000
pmed11,300,5,1.114,1.114,1.114,0.026,0.026,0.026,0.000,0.000
pmed12,300,10,1.287,1.287,1.287,0.048,0.048,0.048,0.000,0.000
pmed13,300,30,1.450,1.450,1.450,0.498,0.498,0.498,0.000,0.000
pmed14,300,60,1.503,1.503,1.503,0.748,0.748,0.748,0.000,0.000
pmed15,300,100,1.646,1.646,1.646,1.276,1.276,1.276,0.000,0.000
pmed16,400,5,1.228,1.228,1.228,0.018,0.018,0.018,0.000,0.000
pmed17,400,10,1.184,1.184,1.184,0.079,0.079,0.079,0.000,0.000
pmed18,400,40,1.342,1.342,1.342,0.530,0.530,0.530,0.000,0.000
pmed19,400,80,1.634,1.634,1.634,0.578,0.578,0.578,0.000,0.000
pmed20,400,133,1.755,1.755,1.755,2.003,2.003,2.003,0.000,0.000
pmed21,500,5,1.060,1.060,1.060,0.035,0.035,0.035,0.000,0.000
pmed22,500,10,1.242,1.242,1.242,0.123,0.123,0.123,0.000,0.000
pmed23,500,50,1.407,1.407,1.407,0.588,0.588,0.588,0.000,0.000
pmed24,500,100,1.564,1.564,1.564,1.575,1.575,1.575,0.000,0.000
pmed25,500,167,1.730,1.730,1.730,1.170,1.170,1.170,0.000,0.000
pmed26,600,5,1.189,1.189,1.189,0.044,0.044,0.044,0.000,0.000
pmed27,600,10,1.246,1.246,1.246,0.116,0.116,0.116,0.000,0.000
pmed28,600,60,1.393,1.393,1.393,0.380,0.380,0.380,0.000,0.000
pmed29,600,120,1.557,1.557,1.557,7.685,7.685,7.685,0.000,0.000
pmed30,600,200,1.691,1.691,1.691,1.476,1.476,1.476,0.000,0.000
pmed31,700,5,1.237,1.237,1.237,0.031,0.031,0.031,0.000,0.000
pmed32,700,10,1.233,1.233,1.233,0.138,0.138,0.138,0.000,0.000
pmed33,700,70,1.447,1.447,1.447,1.849,1.849,1.849,0.000,0.000
pmed34,700,140,1.520,1.520,1.520,0.984,0.984,0.984,0.000,0.000
pmed35,800,5,1.083,1.083,1.083,0.058,0.058,0.058,0.000,0.000
pmed36,800,10,1.274,1.274,1.274,0.103,0.103,0.103,0.000,0.000
pmed37,800,80,1.452,1.452,1.452,0.990,0.990,0.990,0.000,0.000
pmed38,900,5,1.163,1.163,1.163,0.027,0.027,0.027,0.000,0.000
pmed39,900,10,1.198,1.198,1.198,0.146,0.146,0.146,0.000,0.000
pmed40,900,90,1.420,1.420,1.420,4.858,4.858,4.858,0.000,0.000
